Username (White),Rating (White),Title (White),Username (Black),Rating (Black),Title (Black),Result,Moves Count,Date,Tournament Game,Rating Difference,Accuracy (White),Accuracy (Black),Accuracy Difference,Time,Interval,Total Time,Game Type
MagnusCarlsen,3306,GM,GMWSO,3129,GM,Draw,49,"Sep 19, 2023",N,177,96.0,96.1,-0.09999999999999432,1.0,1.0,1.8166666666666667,Bullet
GMWSO,3125,GM,MagnusCarlsen,3310,GM,Draw,48,"Sep 19, 2023",N,-185,94.5,94.2,0.29999999999999716,1.0,1.0,1.8,Bullet
MagnusCarlsen,3314,GM,GMWSO,3121,GM,Black Win,36,"Sep 19, 2023",N,193,76.0,86.7,-10.700000000000003,1.0,1.0,1.6,Bullet
GMWSO,3109,GM,MagnusCarlsen,3326,GM,Draw,33,"Sep 19, 2023",N,-217,98.5,99.2,-0.7000000000000028,1.0,1.0,1.55,Bullet
MagnusCarlsen,3331,GM,GMWSO,3104,GM,White Win,18,"Sep 19, 2023",N,227,88.7,75.0,13.700000000000003,1.0,1.0,1.3,Bullet
GMWSO,3108,GM,MagnusCarlsen,3327,GM,Black Win,16,"Sep 19, 2023",N,-219,86.8,97.3,-10.5,1.0,1.0,1.2666666666666666,Bullet
MagnusCarlsen,3323,GM,GMWSO,3112,GM,Draw,42,"Sep 19, 2023",N,211,99.3,99.7,-0.4000000000000057,1.0,1.0,1.7,Bullet
GMWSO,3108,GM,MagnusCarlsen,3327,GM,Black Win,48,"Sep 19, 2023",N,-219,86.0,89.4,-3.4000000000000057,1.0,1.0,1.8,Bullet
MagnusCarlsen,3323,GM,GMWSO,3112,GM,Draw,74,"Sep 19, 2023",N,211,88.3,91.8,-3.5,1.0,1.0,2.2333333333333334,Bullet
GMWSO,3108,GM,MagnusCarlsen,3327,GM,Black Win,71,"Sep 19, 2023",N,-219,86.4,87.8,-1.3999999999999915,1.0,1.0,2.1833333333333336,Bullet
MagnusCarlsen,3323,GM,GMWSO,3112,GM,White Win,22,"Sep 19, 2023",N,211,97.7,82.4,15.299999999999997,1.0,1.0,1.3666666666666667,Bullet
GMWSO,3067,GM,MagnusCarlsen,3255,GM,Draw,67,"Sep 19, 2023",N,-188,88.6,87.7,0.8999999999999915,3.0,1.0,4.116666666666667,Blitz
MagnusCarlsen,3259,GM,GMWSO,3063,GM,Draw,47,"Sep 19, 2023",N,196,94.5,94.7,-0.20000000000000284,3.0,1.0,3.783333333333333,Blitz
GMWSO,3059,GM,MagnusCarlsen,3263,GM,Black Win,53,"Sep 19, 2023",N,-204,91.8,91.9,-0.10000000000000853,3.0,1.0,3.8833333333333333,Blitz
MagnusCarlsen,3259,GM,GMWSO,3063,GM,White Win,50,"Sep 19, 2023",N,196,95.6,87.9,7.699999999999989,3.0,1.0,3.8333333333333335,Blitz
GMWSO,3067,GM,MagnusCarlsen,3255,GM,Black Win,23,"Sep 19, 2023",N,-188,89.9,96.1,-6.199999999999989,3.0,1.0,3.3833333333333333,Blitz
MagnusCarlsen,3251,GM,GMWSO,3071,GM,White Win,27,"Sep 19, 2023",N,180,92.6,85.0,7.599999999999994,3.0,1.0,3.45,Blitz
GMWSO,3075,GM,MagnusCarlsen,3247,GM,Black Win,30,"Sep 19, 2023",N,-172,91.3,92.2,-0.9000000000000057,3.0,1.0,3.5,Blitz
MagnusCarlsen,3243,GM,GMWSO,3079,GM,White Win,48,"Sep 19, 2023",N,164,91.4,87.5,3.9000000000000057,3.0,1.0,3.8,Blitz
GMWSO,3084,GM,MagnusCarlsen,3238,GM,Black Win,21,"Sep 19, 2023",N,-154,93.3,97.9,-4.6000000000000085,3.0,1.0,3.35,Blitz
MagnusCarlsen,3233,GM,GMWSO,3089,GM,Draw,52,"Sep 19, 2023",N,144,96.1,96.3,-0.20000000000000284,5.0,1.0,5.866666666666667,Blitz
GMWSO,3086,GM,MagnusCarlsen,3236,GM,Black Win,34,"Sep 19, 2023",N,-150,90.2,96.2,-6.0,5.0,1.0,5.566666666666666,Blitz
MagnusCarlsen,3231,GM,GMWSO,3091,GM,Draw,49,"Sep 19, 2023",N,140,98.2,98.3,-0.09999999999999432,5.0,1.0,5.816666666666666,Blitz
GMWSO,3088,GM,MagnusCarlsen,3234,GM,White Win,45,"Sep 19, 2023",N,-146,93.9,87.6,6.300000000000011,5.0,1.0,5.75,Blitz
MagnusCarlsen,3246,GM,GMWSO,3076,GM,White Win,40,"Sep 19, 2023",N,170,91.7,84.4,7.299999999999997,5.0,1.0,5.666666666666667,Blitz
GMWSO,3081,GM,MagnusCarlsen,3241,GM,Black Win,31,"Sep 19, 2023",N,-160,84.8,92.9,-8.100000000000009,5.0,1.0,5.516666666666667,Blitz
MagnusCarlsen,3236,GM,GMWSO,3086,GM,White Win,27,"Sep 19, 2023",N,150,98.3,90.8,7.5,5.0,1.0,5.45,Blitz
GMWSO,3091,GM,MagnusCarlsen,3231,GM,Draw,86,"Sep 19, 2023",N,-140,88.9,88.8,0.10000000000000853,5.0,1.0,6.433333333333334,Blitz
MagnusCarlsen,3234,GM,GMWSO,3088,GM,White Win,42,"Sep 19, 2023",N,146,94.1,88.9,5.199999999999989,5.0,1.0,5.7,Blitz
MagnusCarlsen,3229,GM,NikoTheodorou,3002,GM,White Win,29,"Sep 18, 2023",N,227,96.5,92.7,3.799999999999997,3.0,0.0,3.0,Blitz
NikoTheodorou,3006,GM,MagnusCarlsen,3225,GM,Black Win,43,"Sep 18, 2023",N,-219,88.3,95.0,-6.700000000000003,3.0,0.0,3.0,Blitz
MagnusCarlsen,3221,GM,NikoTheodorou,3010,GM,White Win,51,"Sep 18, 2023",N,211,87.6,80.4,7.199999999999989,3.0,0.0,3.0,Blitz
NikoTheodorou,3014,GM,MagnusCarlsen,3217,GM,Black Win,35,"Sep 18, 2023",N,-203,81.0,87.3,-6.299999999999997,3.0,0.0,3.0,Blitz
MagnusCarlsen,3213,GM,NikoTheodorou,3018,GM,Black Win,74,"Sep 18, 2023",N,195,86.0,92.9,-6.900000000000006,3.0,0.0,3.0,Blitz
NikoTheodorou,3006,GM,MagnusCarlsen,3225,GM,Draw,29,"Sep 18, 2023",N,-219,81.9,88.6,-6.699999999999989,3.0,0.0,3.0,Blitz
MagnusCarlsen,3230,GM,NikoTheodorou,3001,GM,White Win,72,"Sep 18, 2023",N,229,89.1,88.8,0.29999999999999716,3.0,0.0,3.0,Blitz
NikoTheodorou,3004,GM,MagnusCarlsen,3227,GM,Black Win,81,"Sep 18, 2023",N,-223,73.3,71.6,1.7000000000000028,3.0,0.0,3.0,Blitz
MagnusCarlsen,3223,GM,NikoTheodorou,3008,GM,White Win,36,"Sep 18, 2023",N,215,86.1,77.2,8.899999999999991,3.0,0.0,3.0,Blitz
NikoTheodorou,3012,GM,MagnusCarlsen,3219,GM,Black Win,33,"Sep 18, 2023",N,-207,73.1,68.8,4.299999999999997,3.0,0.0,3.0,Blitz
LPSupi,2919,GM,MagnusCarlsen,3215,GM,Black Win,85,"Sep 18, 2023",N,-296,87.8,89.6,-1.7999999999999972,3.0,0.0,3.0,Blitz
MagnusCarlsen,3212,GM,LPSupi,2922,GM,White Win,54,"Sep 18, 2023",N,290,94.8,87.1,7.700000000000003,3.0,0.0,3.0,Blitz
LPSupi,2925,GM,MagnusCarlsen,3209,GM,Black Win,32,"Sep 18, 2023",N,-284,80.0,90.4,-10.400000000000006,3.0,0.0,3.0,Blitz
MagnusCarlsen,3206,GM,LPSupi,2928,GM,White Win,41,"Sep 18, 2023",N,278,91.0,84.7,6.299999999999997,3.0,0.0,3.0,Blitz
LPSupi,2931,GM,MagnusCarlsen,3203,GM,Black Win,47,"Sep 18, 2023",N,-272,89.8,94.6,-4.799999999999997,3.0,0.0,3.0,Blitz
MagnusCarlsen,3200,GM,LPSupi,2934,GM,Black Win,53,"Sep 18, 2023",N,266,85.4,87.1,-1.6999999999999886,3.0,0.0,3.0,Blitz
mitrabhaa,2920,GM,MagnusCarlsen,3319,GM,Black Win,29,"Sep 16, 2023",Y,-399,78.3,90.1,-11.799999999999997,1.0,0.0,1.0,Bullet
MagnusCarlsen,3317,GM,ArtemDyachuk,2758,FM,White Win,26,"Sep 16, 2023",Y,559,93.7,71.8,21.900000000000006,1.0,0.0,1.0,Bullet
ukchessbomber,2739,NM,MagnusCarlsen,3316,GM,Black Win,28,"Sep 16, 2023",Y,-577,89.4,97.8,-8.399999999999991,1.0,0.0,1.0,Bullet
OhanyanEminChess,2993,IM,MagnusCarlsen,3315,GM,Black Win,34,"Sep 16, 2023",Y,-322,75.6,82.4,-6.800000000000011,1.0,0.0,1.0,Bullet
Oleksandr_Bortnyk,3140,GM,MagnusCarlsen,3313,GM,Black Win,47,"Sep 16, 2023",Y,-173,82.3,92.3,-10.0,1.0,0.0,1.0,Bullet
MagnusCarlsen,3309,GM,nihalsarin,3179,GM,White Win,44,"Sep 16, 2023",Y,130,94.8,89.2,5.599999999999994,1.0,0.0,1.0,Bullet
GHANDEEVAM2003,3141,GM,MagnusCarlsen,3304,GM,Black Win,57,"Sep 16, 2023",Y,-163,85.8,91.3,-5.5,1.0,0.0,1.0,Bullet
