Username (White),Rating (White),Title (White),Username (Black),Rating (Black),Title (Black),Result,Accuracy,Moves Count,Date,Time Control,Tournament Game
MagnusCarlsen,(3306),GM,GMWSO,(3129),GM,½½,96 96.1,49,"Sep 19, 2023",1|1,N
GMWSO,(3125),GM,MagnusCarlsen,(3310),GM,½½,94.5 94.2,48,"Sep 19, 2023",1|1,N
MagnusCarlsen,(3314),GM,GMWSO,(3121),GM,01,76 86.7,36,"Sep 19, 2023",1|1,N
GMWSO,(3109),GM,MagnusCarlsen,(3326),GM,½½,98.5 99.2,33,"Sep 19, 2023",1|1,N
MagnusCarlsen,(3331),GM,GMWSO,(3104),GM,10,88.7 75,18,"Sep 19, 2023",1|1,N
GMWSO,(3108),GM,MagnusCarlsen,(3327),GM,01,86.8 97.3,16,"Sep 19, 2023",1|1,N
MagnusCarlsen,(3323),GM,GMWSO,(3112),GM,½½,99.3 99.7,42,"Sep 19, 2023",1|1,N
GMWSO,(3108),GM,MagnusCarlsen,(3327),GM,01,86 89.4,48,"Sep 19, 2023",1|1,N
MagnusCarlsen,(3323),GM,GMWSO,(3112),GM,½½,88.3 91.8,74,"Sep 19, 2023",1|1,N
GMWSO,(3108),GM,MagnusCarlsen,(3327),GM,01,86.4 87.8,71,"Sep 19, 2023",1|1,N
MagnusCarlsen,(3323),GM,GMWSO,(3112),GM,10,97.7 82.4,22,"Sep 19, 2023",1|1,N
GMWSO,(3067),GM,MagnusCarlsen,(3255),GM,½½,88.6 87.7,67,"Sep 19, 2023",3|1,N
MagnusCarlsen,(3259),GM,GMWSO,(3063),GM,½½,94.5 94.7,47,"Sep 19, 2023",3|1,N
GMWSO,(3059),GM,MagnusCarlsen,(3263),GM,01,91.8 91.9,53,"Sep 19, 2023",3|1,N
MagnusCarlsen,(3259),GM,GMWSO,(3063),GM,10,95.6 87.9,50,"Sep 19, 2023",3|1,N
GMWSO,(3067),GM,MagnusCarlsen,(3255),GM,01,89.9 96.1,23,"Sep 19, 2023",3|1,N
